,ann,t=1,t=2,t=4,t=8,t=16,t=32,t=64,t=128
resnet18_cifar100_LR01_L02,0.7026,0.5756,0.6281,0.6627,0.6901,0.7019,0.7041,0.7048,0.7031
resnet18_cifar100_LR01_L04,0.7331,0.5088,0.5878,0.6569,0.7045,0.7268,0.7342,0.7351,0.7351
resnet18_cifar100_LR01_L08,0.7522,0.4036,0.5151,0.6173,0.6982,0.7373,0.7496,0.7522,0.7547
resnet18_cifar100_LR01_L16,0.7532,0.1132,0.329,0.5246,0.6618,0.7249,0.7454,0.7516,0.7538
resnet18_cifar100_LR05_L02,0.7509,0.6494,0.6913,0.7217,0.7427,0.7493,0.7527,0.7512,0.7517
resnet18_cifar100_LR05_L04,0.761,0.5192,0.6052,0.6774,0.7299,0.7544,0.7613,0.7624,0.7618
resnet18_cifar100_LR05_L08,0.7631,0.3695,0.4742,0.5991,0.6992,0.7473,0.7626,0.7653,0.7655
resnet18_cifar100_LR05_L16,0.7622,0.2873,0.3895,0.5315,0.6674,0.7328,0.7548,0.7603,0.7614
resnet18_cifar100_LR10_L02,0.756,0.6216,0.6725,0.7133,0.7395,0.7523,0.7564,0.757,0.7554
resnet18_cifar100_LR10_L04,0.7627,0.5331,0.6129,0.6886,0.7373,0.7578,0.7615,0.7638,0.7627
resnet18_cifar100_LR10_L08,0.7705,0.378,0.4899,0.6145,0.7096,0.753,0.7667,0.7697,0.7714
resnet18_cifar100_LR10_L16,0.7712,0.3085,0.4086,0.5496,0.6839,0.7471,0.7664,0.7725,0.7734
resnet18_cifar100_LR20_L02,0.7294,0.5419,0.6046,0.6666,0.7081,0.729,0.7331,0.7314,0.7307
resnet18_cifar100_LR20_L04,0.7603,0.489,0.5782,0.6652,0.7286,0.7529,0.7597,0.763,0.7631
resnet18_cifar100_LR20_L08,0.7659,0.3309,0.4205,0.5532,0.6816,0.7407,0.7607,0.7644,0.7664
resnet18_cifar100_LR20_L16,0.772,0.1984,0.2708,0.4188,0.6136,0.727,0.7614,0.7698,0.7727
resnet18_cifar10_LR01_L02,0.9194,0.8732,0.8945,0.9086,0.9192,0.9217,0.9213,0.9212,0.9207
resnet18_cifar10_LR01_L04,0.9439,0.8552,0.8927,0.9209,0.937,0.9435,0.9444,0.9452,0.9455
resnet18_cifar10_LR01_L08,0.9491,0.758,0.8734,0.9132,0.9375,0.9458,0.9491,0.9495,0.9494
resnet18_cifar10_LR01_L16,0.9533,0.2535,0.7916,0.8756,0.9205,0.9464,0.9537,0.954,0.9541
resnet18_cifar10_LR05_L02,0.9372,0.911,0.9192,0.9302,0.9359,0.9378,0.9381,0.9374,0.9379
resnet18_cifar10_LR05_L04,0.9518,0.8814,0.908,0.9292,0.9411,0.9465,0.9494,0.9516,0.952
resnet18_cifar10_LR05_L08,0.9576,0.8051,0.8604,0.9043,0.9357,0.9514,0.9557,0.9567,0.9569
resnet18_cifar10_LR05_L16,0.9593,0.7126,0.7999,0.8771,0.9286,0.951,0.9578,0.9588,0.9586
resnet18_cifar10_LR10_L02,0.9405,0.9068,0.9207,0.9306,0.9383,0.9427,0.9417,0.941,0.9412
resnet18_cifar10_LR10_L04,0.9473,0.877,0.9057,0.9263,0.9403,0.945,0.9468,0.9461,0.9463
resnet18_cifar10_LR10_L08,0.9543,0.7211,0.806,0.8808,0.9275,0.9483,0.9536,0.9551,0.9546
resnet18_cifar10_LR10_L16,0.9578,0.6598,0.7606,0.8536,0.9206,0.9456,0.9553,0.956,0.9569
resnet18_cifar10_LR20_L02,0.9142,0.8581,0.8842,0.8994,0.9103,0.9159,0.9172,0.9157,0.9151
resnet18_cifar10_LR20_L04,0.9377,0.7968,0.8629,0.9063,0.9271,0.9354,0.9381,0.9383,0.9384
resnet18_cifar10_LR20_L08,0.9497,0.4924,0.6195,0.7611,0.884,0.9338,0.9463,0.9492,0.9504
resnet18_cifar10_LR20_L16,0.947,0.4939,0.5935,0.7296,0.8645,0.9258,0.9444,0.9471,0.9477
vgg16_cifar100_LR01_L02,0.6071,0.5102,0.5546,0.5779,0.5982,0.6065,0.6081,0.6082,0.6072
vgg16_cifar100_LR01_L04,0.5971,0.2364,0.2981,0.3744,0.4519,0.5284,0.5696,0.5909,0.5966
vgg16_cifar100_LR01_L08,0.6637,0.1864,0.2736,0.3589,0.4759,0.578,0.636,0.6607,0.6664
vgg16_cifar100_LR01_L16,0.7096,0.0102,0.2001,0.2932,0.4553,0.6064,0.6826,0.7041,0.7093
vgg16_cifar100_LR05_L02,0.6656,0.5438,0.5829,0.6131,0.6367,0.651,0.6627,0.6657,0.6669
vgg16_cifar100_LR05_L04,0.6893,0.1886,0.3484,0.4634,0.5561,0.6255,0.67,0.6845,0.6894
vgg16_cifar100_LR05_L08,0.7096,0.18,0.2942,0.4039,0.5335,0.6367,0.6853,0.7032,0.7077
vgg16_cifar100_LR05_L16,0.7292,0.158,0.2363,0.3354,0.4835,0.6271,0.6983,0.7243,0.7292
vgg16_cifar100_LR10_L02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
vgg16_cifar100_LR10_L04,0.6828,0.2027,0.2894,0.3889,0.5118,0.6074,0.6599,0.6761,0.6816
vgg16_cifar100_LR10_L08,0.7073,0.0736,0.2545,0.396,0.5289,0.6363,0.6904,0.7044,0.7096
vgg16_cifar100_LR10_L16,0.728,0.1092,0.173,0.2673,0.4163,0.5821,0.6803,0.7175,0.7262
vgg16_cifar100_LR20_L02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
vgg16_cifar100_LR20_L04,0.6614,0.2392,0.3764,0.476,0.5648,0.6257,0.6492,0.659,0.6619
vgg16_cifar100_LR20_L08,0.6866,0.0108,0.0961,0.2281,0.3664,0.5234,0.6345,0.675,0.6849
vgg16_cifar100_LR20_L16,0.7186,0.0453,0.1448,0.2294,0.3761,0.5486,0.6605,0.7021,0.7148
vgg16_cifar10_LR01_L02,0.8455,0.7611,0.8009,0.8241,0.8394,0.8445,0.847,0.8466,0.8457
vgg16_cifar10_LR01_L04,0.8814,0.675,0.7779,0.8355,0.8672,0.8818,0.8844,0.8841,0.8832
vgg16_cifar10_LR01_L08,0.917,0.1008,0.6319,0.7826,0.8507,0.8909,0.9098,0.9154,0.9168
vgg16_cifar10_LR01_L16,0.9396,0.1,0.1542,0.8861,0.9149,0.9327,0.9376,0.9396,0.939
vgg16_cifar10_LR05_L02,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
vgg16_cifar10_LR05_L04,0.8429,0.4263,0.7037,0.7678,0.8158,0.8378,0.8448,0.8457,0.8444
vgg16_cifar10_LR05_L08,0.9345,0.3429,0.7966,0.8771,0.9155,0.9297,0.9335,0.9361,0.9355
vgg16_cifar10_LR05_L16,0.9432,0.2093,0.8237,0.8935,0.927,0.9399,0.942,0.9437,0.9432
vgg16_cifar10_LR10_L02,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
vgg16_cifar10_LR10_L04,0.1687,0.1021,0.0983,0.0937,0.1043,0.1215,0.1423,0.1486,0.1558
vgg16_cifar10_LR10_L08,0.923,0.3257,0.6581,0.8047,0.8779,0.911,0.9215,0.9237,0.9242
vgg16_cifar10_LR10_L16,0.9404,0.1114,0.7455,0.8738,0.9217,0.9357,0.9386,0.9398,0.94
vgg16_cifar10_LR20_L02,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
vgg16_cifar10_LR20_L04,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
vgg16_cifar10_LR20_L08,0.9134,0.5286,0.6108,0.7842,0.8768,0.9044,0.9119,0.9131,0.9136
vgg16_cifar10_LR20_L16,0.9245,0.466,0.5195,0.7555,0.8853,0.9156,0.9242,0.9255,0.9256
